[2018-10-18 00:21:16,971][INFO] Training started on cuda:0
[2018-10-18 04:34:14,032][INFO] ------------------------------
[2018-10-18 04:36:54,825][INFO] [98/200] Train loss: 181.771117 
[2018-10-18 04:36:56,098][INFO] [98/200] Validation loss: 191.200537 
[2018-10-18 04:36:56,102][INFO] [98/200] Time: 162.068387 s
[2018-10-18 04:36:56,103][INFO] ------------------------------
[2018-10-18 04:39:38,374][INFO] [99/200] Train loss: 162.721182 
[2018-10-18 04:39:39,670][INFO] [99/200] Validation loss: 176.392673 
[2018-10-18 04:39:39,673][INFO] [99/200] Time: 163.569628 s
[2018-10-18 04:39:39,675][INFO] ------------------------------
[2018-10-18 04:42:09,948][INFO] [100/200] Train loss: 230.200834 
[2018-10-18 04:42:11,235][INFO] [100/200] Validation loss: 244.811152 
[2018-10-18 04:42:11,238][INFO] [100/200] Time: 151.562205 s
[2018-10-18 04:42:11,239][INFO] ------------------------------
